Acadept,Degname,Major,Acad Yr,Count of OSIR
BIOS,BS,Biological Sciences (BS),2025,405
BIOS,BS,Biological Sciences - Secondary Teaching (BS),2025,10
BIOS,BS,Biological Sciences (BS),2024,379
BIOS,BS,Biological Sciences - Secondary Teaching (BS),2024,1
BIOS,BS,Biological Sciences (BS),2023,401
BIOS,BS,Biological Sciences (BS),2022,366
BIOS,BS,Biological Sciences (BS),2021,410
BIOS,BS,Biological Sciences (BS),2020,405
BIOS,BS,Biological Sciences (BS),2019,430
BIOS,BS,Biological Sciences (BS),2018,521
BIOS,BS,Biological Sciences (BS),2017,562
BIOS,BS,Biological Sciences (BS),2016,558
BIOS,MS,Biological Sciences (MS),2025,9
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2025,11
BIOS,MS,Biological Sciences (MS),2024,11
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2024,7
BIOS,MS,Biological Sciences (MS),2023,10
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2023,5
BIOS,MS,Biological Sciences (MS),2022,9
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2022,5
BIOS,MS,Biological Sciences (MS),2021,15
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2021,3
BIOS,MS,Biology Teaching (MS),2020,2
BIOS,MS,Biological Sciences (MS),2020,18
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2020,1
BIOS,MS,Biological Sciences - Bioinformatics (MS),2020,1
BIOS,MS,Biology Teaching (MS),2019,2
BIOS,MS,Biological Sciences (MS),2019,12
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2019,4
BIOS,MS,Biological Sciences - Bioinformatics (MS),2019,1
BIOS,MS,Biology Teaching (MS),2018,2
BIOS,MS,Biological Sciences (MS),2018,15
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2018,6
BIOS,MS,Biological Sciences - Bioinformatics (MS),2018,3
BIOS,MS,Biology Teaching (MS),2017,1
BIOS,MS,Biological Sciences (MS),2017,25
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2017,6
BIOS,MS,Biological Sciences - Bioinformatics (MS),2017,3
BIOS,MS,Biology Teaching (MS),2016,1
BIOS,MS,Biological Sciences (MS),2016,28
BIOS,MS,Biological Sciences - Human Anatomical Sciences (MS),2016,7
BIOS,MS,Biological Sciences - Bioinformatics (MS),2016,1
BIOS,PHD,Biological Sciences (PHD),2025,26
BIOS,PHD,Biological Sciences (PHD),2024,29
BIOS,PHD,Biological Sciences (PHD),2023,29
BIOS,PHD,Biological Sciences (PHD),2022,31
BIOS,PHD,Biological Sciences (PHD),2021,29
